Date,Mean Temp (C),Max Temp (C),Min Temp (C),R. Humidity (%),Wind Speed (m/s),S. Pressure (kPa),Incoming Radiation (MJ/m²),Outgoing Longwave Radiation (Rnl),Net Radiation (MJ/m²/day),ET0 (mm/day)
26-06-1985,33.08,40.33,26.48,47.69,5.68,95.42,1.0161,-1.6331,-0.8507,5.9446
27-06-1985,30.21,35.6,26.4,59.69,5.45,95.44,1.4628,-1.3986,-0.2723,4.2272
28-06-1985,28.65,32.98,25.11,64.38,4.93,95.52,2.02,-1.2663,0.2891,3.4192
29-06-1985,30.73,38.25,24.55,56.62,5.38,95.49,1.7945,-1.3682,0.0136,4.6894
30-06-1985,31.04,38.17,25.05,54.19,5.48,95.62,1.6684,-1.4328,-0.1481,4.9993
01-07-1985,31.4,38.63,25.01,51.62,5.35,95.76,1.938,-1.4119,0.0803,5.2841
02-07-1985,31.58,38.4,25.1,49.62,4.91,95.73,2.0615,-1.4171,0.1703,5.1669
03-07-1985,31.87,38.58,25.12,49.25,4.41,95.66,2.2861,-1.3563,0.404,4.8666
04-07-1985,31.69,37.49,25.15,49.38,4.41,95.69,2.1721,-1.381,0.2915,4.7564
05-07-1985,31.64,38.42,24.95,50.44,4.77,95.54,1.3478,-1.5553,-0.5174,4.7872
06-07-1985,29.64,34.65,25.22,58.44,4.08,95.58,1.5319,-1.4343,-0.2548,3.4079
07-07-1985,30.8,37.51,25.01,54.19,4.53,95.59,1.6122,-1.4549,-0.2135,4.2595
08-07-1985,30.88,37.01,25.03,55.5,5.06,95.53,1.5561,-1.4253,-0.2271,4.4723
09-07-1985,30.8,37.47,25.37,54.81,6.52,95.45,1.8127,-1.3983,-0.0025,5.5834
10-07-1985,31.34,38.74,24.48,51.56,5.49,95.43,2.0356,-1.39,0.1774,5.3935
11-07-1985,31.57,38.51,24.91,49.69,4.81,95.54,1.7738,-1.4807,-0.1148,5.0014
12-07-1985,28.95,32.73,25.61,58.62,4.09,95.7,1.6001,-1.4489,-0.2168,3.3347
13-07-1985,27.94,31.37,24.71,61.5,4.42,95.61,1.4852,-1.4653,-0.3217,3.1728
14-07-1985,27.54,31.58,24.47,67.56,4.12,95.64,1.7729,-1.3167,0.0484,2.6087
15-07-1985,27.18,32.01,23.8,71.44,4.13,95.76,1.4792,-1.3311,-0.1921,2.2438
16-07-1985,26.24,30.59,23.62,73.19,4.32,95.73,1.3245,-1.3876,-0.3677,2.0866
17-07-1985,25.23,27.63,23.37,80.75,4.44,95.67,0.9253,-1.3854,-0.6729,1.3677
18-07-1985,25.84,30.19,22.66,83.69,3.92,95.67,1.6114,-1.1774,0.0634,1.224
19-07-1985,26.36,31.17,22.89,80.62,3.6,95.78,1.5561,-1.2058,-0.0076,1.3667
20-07-1985,26.46,31.66,22.7,77.94,3.4,95.93,1.8075,-1.1965,0.1953,1.5474
21-07-1985,26.51,31.17,22.91,78.69,3.18,95.93,1.4878,-1.2384,-0.0927,1.3424
22-07-1985,27.03,32.43,23.09,77.25,2.34,95.89,1.8014,-1.1753,0.2118,1.2092
23-07-1985,26.73,30.82,23.57,81.5,2.48,95.88,1.7842,-1.1228,0.251,1.0343
24-07-1985,25.8,29.41,23.15,85.69,2.73,95.81,1.9284,-1.0889,0.396,0.8934
25-07-1985,25.4,28.59,23.28,85.0,3.01,95.76,1.4602,-1.2084,-0.0841,0.8689
26-07-1985,26.23,30.61,23.05,80.12,3.23,95.76,1.8939,-1.1545,0.3038,1.3564
27-07-1985,26.0,30.34,22.97,79.69,3.98,95.93,1.5837,-1.2341,-0.0147,1.53
28-07-1985,26.78,31.76,22.92,77.5,4.08,95.9,1.1897,-1.2973,-0.3812,1.6757
29-07-1985,25.15,28.19,22.9,81.06,4.47,95.8,1.4481,-1.2828,-0.1678,1.4693
30-07-1985,24.23,26.78,22.28,87.38,3.73,95.53,0.8588,-1.3517,-0.6904,0.6929
